"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2011,122,94,28,0,0,0,0,70,59,33,0,0,0,119,3
"Aberdeen, WA","10140",2011,363,331,32,0,0,0,0,64,47,21,0,0,0,363,0
"Adjuntas, PR","10260",2011,14,13,1,0,0,0,0,58,21,14,0,0,0,14,0
"Adrian, MI","10300",2011,241,145,85,10,1,0,0,154,79,46,0,0,158,83,0
"Akron, OH","10420",2011,365,194,164,7,0,0,0,150,75,47,43,0,148,174,0
"Albany, GA","10500",2011,361,74,281,6,0,0,0,115,77,59,0,0,0,361,0
"Albany, OR","10540",2011,363,228,129,3,2,1,0,212,67,34,0,0,0,363,0
"Albany-Schenectady-Troy, NY","10580",2011,365,201,161,3,0,0,0,140,69,47,0,0,142,223,0
"Albuquerque, NM","10740",2011,365,27,310,25,2,1,0,293,100,65,0,1,157,176,31
"Alexandria, LA","10780",2011,283,48,234,1,0,0,0,102,73,60,0,0,0,283,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2011,365,101,250,11,3,0,0,154,87,59,0,7,52,304,2
"Altoona, PA","11020",2011,365,146,210,8,1,0,0,159,76,53,0,0,103,262,0
"Amarillo, TX","11100",2011,361,227,126,8,0,0,0,140,80,46,0,0,276,85,0
"Americus, GA","11140",2011,232,171,61,0,0,0,0,100,71,44,0,0,232,0,0
"Ames, IA","11180",2011,214,198,16,0,0,0,0,87,49,36,0,0,214,0,0
"Anchorage, AK","11260",2011,365,232,130,2,0,1,0,241,63,42,5,0,63,247,50
"Ann Arbor, MI","11460",2011,357,261,89,6,1,0,0,154,71,39,0,0,290,67,0
"Appleton, WI","11540",2011,303,198,101,4,0,0,0,119,67,42,0,0,150,153,0
"Ardmore, OK","11620",2011,333,116,180,34,3,0,0,177,105,57,0,0,185,148,0
"Arkadelphia, AR","11660",2011,270,249,21,0,0,0,0,100,49,35,0,0,270,0,0
"Asheville, NC","11700",2011,364,169,191,4,0,0,0,122,74,52,0,0,138,226,0
"Ashtabula, OH","11780",2011,211,153,50,7,1,0,0,154,84,42,0,0,211,0,0
"Athens, OH","11900",2011,347,278,65,4,0,0,0,115,64,31,0,119,187,41,0
"Athens, TN","11940",2011,358,357,1,0,0,0,0,51,32,17,0,309,0,0,49
"Athens-Clarke County, GA","12020",2011,365,156,195,14,0,0,0,126,83,53,0,0,119,246,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2011,365,57,241,62,5,0,0,172,119,63,0,2,129,234,0
"Atlantic City-Hammonton, NJ","12100",2011,359,236,118,5,0,0,0,136,67,43,0,0,174,185,0
"Augusta-Richmond County, GA-SC","12260",2011,363,119,229,15,0,0,0,126,87,55,0,0,122,241,0
"Augusta-Waterville, ME","12300",2011,211,195,16,0,0,0,0,97,49,31,0,0,182,0,29
"Austin-Round Rock, TX","12420",2011,365,160,191,13,1,0,0,151,84,52,0,1,181,183,0
"Bakersfield, CA","12540",2011,365,39,186,100,40,0,0,200,151,84,0,0,194,167,4
"Baltimore-Columbia-Towson, MD","12580",2011,365,89,239,24,10,3,0,209,101,60,0,5,126,234,0
"Bangor, ME","12620",2011,365,271,94,0,0,0,0,82,58,39,0,0,155,210,0
"Baraboo, WI","12660",2011,284,230,54,0,0,0,0,92,58,40,0,0,204,79,1
"Barnstable Town, MA","12700",2011,275,246,26,3,0,0,0,112,51,36,0,0,216,59,0
"Baton Rouge, LA","12940",2011,365,39,286,34,6,0,0,192,101,61,0,1,96,268,0
"Bay City, MI","13020",2011,118,79,39,0,0,0,0,79,65,32,0,0,0,118,0
"Beaumont-Port Arthur, TX","13140",2011,365,141,193,27,4,0,0,185,90,53,0,0,144,221,0
"Beaver Dam, WI","13180",2011,365,196,163,6,0,0,0,115,71,47,0,0,131,234,0
"Beckley, WV","13220",2011,116,68,48,0,0,0,0,85,65,45,0,0,0,116,0
"Bellingham, WA","13380",2011,354,326,28,0,0,0,0,66,47,30,0,0,82,272,0
"Bend-Redmond, OR","13460",2011,365,294,67,3,1,0,0,176,57,36,0,0,122,243,0
"Bennington, VT","13540",2011,361,239,121,1,0,0,0,140,61,42,0,0,124,237,0
"Berlin, NH-VT","13620",2011,356,266,88,2,0,0,0,101,67,44,0,0,347,9,0
"Billings, MT","13740",2011,362,319,43,0,0,0,0,80,51,26,9,0,0,353,0
"Birmingham-Hoover, AL","13820",2011,365,64,263,32,6,0,0,182,101,61,1,0,88,264,12
"Bishop, CA","13860",2011,365,159,160,33,5,2,6,14703,105,54,0,0,257,58,50
"Bismarck, ND","13900",2011,365,298,67,0,0,0,0,76,53,40,0,2,225,137,1
"Blacksburg-Christiansburg-Radford, VA","13980",2011,325,264,60,1,0,0,0,101,64,42,0,0,325,0,0
"Bloomington, IL","14010",2011,359,311,46,2,0,0,0,147,58,34,0,0,359,0,0
"Bloomington, IN","14020",2011,334,151,174,8,1,0,0,159,76,52,0,0,97,237,0
"Boise City, ID","14260",2011,365,267,93,5,0,0,0,115,67,43,7,9,219,57,73
"Boone, NC","14380",2011,117,77,40,0,0,0,0,74,61,42,0,0,0,117,0
"Boston-Cambridge-Newton, MA-NH","14460",2011,365,87,271,6,1,0,0,151,76,56,0,5,61,299,0
"Boulder, CO","14500",2011,365,212,137,16,0,0,0,140,84,48,2,0,326,37,0
"Bowling Green, KY","14540",2011,365,165,196,4,0,0,0,108,74,52,0,0,186,179,0
"Bozeman, MT","14580",2011,365,204,160,1,0,0,0,103,62,47,0,4,0,361,0
"Brainerd, MN","14660",2011,350,265,83,2,0,0,0,112,60,41,0,0,142,208,0
"Branson, MO","14700",2011,283,196,82,5,0,0,0,126,63,44,0,0,210,73,0
"Breckenridge, CO","14720",2011,318,314,4,0,0,0,0,66,27,12,0,0,0,0,318
"Bremerton-Silverdale, WA","14740",2011,361,288,72,1,0,0,0,110,58,27,0,0,0,361,0
"Bridgeport-Stamford-Norwalk, CT","14860",2011,365,257,88,12,8,0,0,190,80,41,45,80,158,82,0
"Brookings, SD","15100",2011,365,318,46,1,0,0,0,104,53,38,0,0,288,68,9
"Brownsville-Harlingen, TX","15180",2011,365,168,196,1,0,0,0,104,71,52,1,0,57,307,0
"Brunswick, GA","15260",2011,266,205,60,1,0,0,0,108,61,41,0,0,198,57,11
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2011,365,134,224,7,0,0,0,150,77,54,0,3,98,264,0
"Burley, ID","15420",2011,193,165,28,0,0,0,0,74,51,45,0,0,193,0,0
"Burlington, NC","15500",2011,365,149,214,2,0,0,0,108,67,53,0,0,0,365,0
"Burlington-South Burlington, VT","15540",2011,365,250,113,2,0,0,0,105,60,43,0,1,155,209,0
"Butte-Silver Bow, MT","15580",2011,364,233,126,5,0,0,0,135,73,41,0,0,0,307,57
"Cadillac, MI","15620",2011,364,315,47,2,0,0,0,147,55,37,0,0,327,37,0
"Cambridge, MD","15700",2011,318,246,52,19,1,0,0,156,84,40,0,0,318,0,0
"Canton-Massillon, OH","15940",2011,365,109,244,10,2,0,0,154,80,57,0,0,79,286,0
"Cape Coral-Fort Myers, FL","15980",2011,365,255,110,0,0,0,0,90,58,44,0,0,164,201,0
"Carlsbad-Artesia, NM","16100",2011,365,212,146,7,0,0,0,119,84,47,0,0,326,39,0
"Carson City, NV","16180",2011,195,152,43,0,0,0,0,97,61,44,0,0,195,0,0
"Casper, WY","16220",2011,212,176,36,0,0,0,0,77,58,33,0,39,85,81,7
"Ca¤on City, CO","15860",2011,57,55,2,0,0,0,0,59,27,15,0,0,0,0,57
"Cedar Rapids, IA","16300",2011,365,169,196,0,0,0,0,100,71,52,0,0,86,278,1
"Centralia, WA","16500",2011,364,305,59,0,0,0,0,78,54,28,0,0,0,364,0
"Chambersburg-Waynesboro, PA","16540",2011,180,150,29,1,0,0,0,112,64,41,0,0,180,0,0
"Champaign-Urbana, IL","16580",2011,348,256,85,6,1,0,0,156,67,40,0,0,280,68,0
"Charleston, WV","16620",2011,361,231,119,8,3,0,0,164,71,41,0,0,151,107,103
"Charleston-North Charleston, SC","16700",2011,365,146,215,3,1,0,0,153,71,53,0,0,69,296,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2011,365,90,230,37,8,0,0,169,105,59,0,0,149,216,0
"Charlottesville, VA","16820",2011,364,213,150,1,0,0,0,105,64,46,0,0,96,268,0
"Chattanooga, TN-GA","16860",2011,359,76,273,10,0,0,0,129,82,61,0,0,81,278,0
"Cheyenne, WY","16940",2011,365,256,108,1,0,0,0,101,67,44,1,1,318,45,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2011,365,20,321,15,9,0,0,177,93,66,0,7,59,293,6
"Chico, CA","17020",2011,365,86,255,24,0,0,0,149,90,60,0,0,130,235,0
"Cincinnati, OH-KY-IN","17140",2011,365,61,267,30,7,0,0,179,105,61,0,0,91,274,0
"Claremont-Lebanon, NH-VT","17200",2011,365,254,111,0,0,0,0,93,60,40,0,0,188,177,0
"Clarksburg, WV","17220",2011,83,41,42,0,0,0,0,80,64,51,0,0,0,83,0
"Clarksville, TN-KY","17300",2011,355,209,144,2,0,0,0,112,74,46,0,0,275,80,0
"Clearlake, CA","17340",2011,365,359,6,0,0,0,0,54,44,34,0,0,361,4,0
"Cleveland, MS","17380",2011,341,145,190,6,0,0,0,122,68,53,0,0,85,256,0
"Cleveland, TN","17420",2011,362,362,0,0,0,0,0,40,21,13,0,311,0,0,51
"Cleveland-Elyria, OH","17460",2011,365,52,284,25,4,0,0,161,93,64,1,1,53,303,7
"Clinton, IA","17540",2011,365,85,280,0,0,0,0,100,77,60,0,0,31,334,0
"Coeur d'Alene, ID","17660",2011,181,169,12,0,0,0,0,67,49,41,0,0,181,0,0
"Colorado Springs, CO","17820",2011,365,225,130,10,0,0,0,143,84,47,0,0,349,16,0
"Columbia, MO","17860",2011,245,200,42,3,0,0,0,112,61,43,0,0,245,0,0
"Columbia, SC","17900",2011,365,102,242,21,0,0,0,150,90,58,0,0,116,249,0
"Columbus, GA-AL","17980",2011,365,128,232,5,0,0,0,126,83,55,0,0,72,293,0
"Columbus, OH","18140",2011,365,111,233,17,4,0,0,156,81,56,0,0,91,274,0
"Concord, NH","18180",2011,242,184,58,0,0,0,0,93,61,38,0,0,147,95,0
"Coos Bay, OR","18300",2011,45,41,4,0,0,0,0,58,48,32,0,0,0,45,0
"Corning, NY","18500",2011,360,297,61,1,1,0,0,160,58,41,7,3,289,61,0
"Corpus Christi, TX","18580",2011,365,214,140,10,1,0,0,154,71,47,0,0,183,179,3
"Corsicana, TX","18620",2011,365,162,190,13,0,0,0,147,80,52,0,3,159,203,0
"Corvallis, OR","18700",2011,361,290,71,0,0,0,0,86,57,21,0,0,0,361,0
"Craig, CO","18780",2011,135,119,16,0,0,0,0,84,54,40,0,0,135,0,0
"Crescent City, CA","18860",2011,120,117,3,0,0,0,0,54,38,17,0,0,0,101,19
"Crestview-Fort Walton Beach-Destin, FL","18880",2011,363,322,39,2,0,0,0,112,51,35,0,0,363,0,0
"Cullowhee, NC","19000",2011,265,145,116,4,0,0,0,126,74,49,0,0,189,76,0
"Dallas-Fort Worth-Arlington, TX","19100",2011,365,80,219,46,20,0,0,195,119,62,0,14,163,187,1
"Dalton, GA","19140",2011,267,164,96,7,0,0,0,133,77,47,0,0,214,53,0
"Daphne-Fairhope-Foley, AL","19300",2011,282,177,96,9,0,0,0,126,74,44,0,0,195,87,0
"Davenport-Moline-Rock Island, IA-IL","19340",2011,365,66,298,1,0,0,0,105,79,59,0,0,40,279,46
"Dayton, OH","19380",2011,365,108,236,20,1,0,0,172,89,58,0,0,122,243,0
"Decatur, AL","19460",2011,280,168,110,2,0,0,0,115,77,46,0,0,190,90,0
"Decatur, IL","19500",2011,365,119,241,4,1,0,0,161,71,55,0,0,70,295,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2011,365,217,146,1,1,0,0,153,62,46,0,0,128,237,0
"Deming, NM","19700",2011,365,299,57,5,1,0,3,622,58,41,0,16,291,0,58
"Denver-Aurora-Lakewood, CO","19740",2011,365,94,214,51,6,0,0,197,108,64,0,63,234,56,12
"Des Moines-West Des Moines, IA","19780",2011,365,179,186,0,0,0,0,98,68,51,0,2,76,287,0
"Detroit-Warren-Dearborn, MI","19820",2011,365,113,231,18,3,0,0,159,87,56,0,5,65,293,2
"Dickinson, ND","19860",2011,323,307,16,0,0,0,0,64,48,39,0,0,291,32,0
"Dodge City, KS","19980",2011,350,344,6,0,0,0,0,63,34,14,0,0,0,0,350
"Dothan, AL","20020",2011,283,181,102,0,0,0,0,100,67,46,0,0,192,91,0
"Douglas, GA","20060",2011,59,28,31,0,0,0,0,93,68,52,0,0,0,59,0
"Dover, DE","20100",2011,365,270,90,3,2,0,0,172,65,41,0,0,294,71,0
"DuBois, PA","20180",2011,291,248,37,6,0,0,0,143,61,39,0,0,291,0,0
"Duluth, MN-WI","20260",2011,365,268,96,1,0,0,0,101,61,42,0,0,223,137,5
"Durango, CO","20420",2011,365,208,147,10,0,0,0,150,84,49,0,10,349,6,0
"Durham-Chapel Hill, NC","20500",2011,365,174,184,7,0,0,0,143,77,51,0,0,125,240,0
"Eagle Pass, TX","20580",2011,334,187,146,1,0,0,0,136,67,46,0,0,0,334,0
"East Stroudsburg, PA","20700",2011,359,265,94,0,0,0,0,84,60,39,0,0,195,164,0
"Eau Claire, WI","20740",2011,227,192,35,0,0,0,0,100,56,39,0,0,186,38,3
"Effingham, IL","20820",2011,211,175,35,1,0,0,0,108,64,43,0,0,211,0,0
"El Centro, CA","20940",2011,365,176,156,32,1,0,0,168,93,52,8,54,218,79,6
"El Dorado, AR","20980",2011,116,34,82,0,0,0,0,89,66,54,0,0,0,116,0
"El Paso, TX","21340",2011,365,46,299,17,3,0,0,186,93,64,0,6,101,248,10
"Elizabethtown-Fort Knox, KY","21060",2011,339,197,141,1,0,0,0,112,74,47,0,0,152,187,0
"Elkhart-Goshen, IN","21140",2011,353,122,225,6,0,0,0,147,77,56,0,0,53,300,0
"Elko, NV","21220",2011,326,313,13,0,0,0,0,85,41,19,0,0,0,45,281
