T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2000,Primary energy production (petajoules),"36,588",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2005,Primary energy production (petajoules),"45,038",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2010,Primary energy production (petajoules),"47,649",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2015,Primary energy production (petajoules),"44,817",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2019,Primary energy production (petajoules),"48,473",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2020,Primary energy production (petajoules),"44,240",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2021,Primary energy production (petajoules),"46,089",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,024",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,607",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,494",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,371",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,336",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,382",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,472",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,774",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,1995,Changes in stocks (petajoules),321,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2000,Changes in stocks (petajoules),-18,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
