T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2020,Supply per capita (gigajoules),5,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
4,Afghanistan,2021,Supply per capita (gigajoules),4,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,1995,Primary energy production (petajoules),43,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2000,Primary energy production (petajoules),34,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2005,Primary energy production (petajoules),48,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2010,Primary energy production (petajoules),69,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2015,Primary energy production (petajoules),87,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2019,Primary energy production (petajoules),71,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2020,Primary energy production (petajoules),63,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2021,Primary energy production (petajoules),76,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),31,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),43,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),22,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2019,Net imports [Imports - Exports - Bunkers] (petajoules),29,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2020,Net imports [Imports - Exports - Bunkers] (petajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2021,Net imports [Imports - Exports - Bunkers] (petajoules),21,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,1995,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2005,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2010,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2015,Changes in stocks (petajoules),6,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2019,Changes in stocks (petajoules),5,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2020,Changes in stocks (petajoules),5,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2021,Changes in stocks (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,1995,Total supply (petajoules),47,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2000,Total supply (petajoules),65,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2005,Total supply (petajoules),91,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2010,Total supply (petajoules),91,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2015,Total supply (petajoules),92,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2019,Total supply (petajoules),96,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2020,Total supply (petajoules),86,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2021,Total supply (petajoules),95,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,1995,Supply per capita (gigajoules),14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2000,Supply per capita (gigajoules),20,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2005,Supply per capita (gigajoules),30,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2010,Supply per capita (gigajoules),31,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2015,Supply per capita (gigajoules),32,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2019,Supply per capita (gigajoules),34,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2020,Supply per capita (gigajoules),30,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
8,Albania,2021,Supply per capita (gigajoules),33,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,1995,Primary energy production (petajoules),"4,748",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2000,Primary energy production (petajoules),"5,852",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2005,Primary energy production (petajoules),"7,534",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2010,Primary energy production (petajoules),"6,200",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2015,Primary energy production (petajoules),"5,883",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2019,Primary energy production (petajoules),"5,967",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2020,Primary energy production (petajoules),"5,458",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2021,Primary energy production (petajoules),"6,214",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,485",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,762",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,952",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,551",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,694",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,436",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,095",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,666",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,1995,Changes in stocks (petajoules),-8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2000,Changes in stocks (petajoules),-14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2005,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2010,Changes in stocks (petajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2015,Changes in stocks (petajoules),-36,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2019,Changes in stocks (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2020,Changes in stocks (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2021,Changes in stocks (petajoules),-6,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,1995,Total supply (petajoules),"1,270",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2000,Total supply (petajoules),"1,103",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2005,Total supply (petajoules),"1,583",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2010,Total supply (petajoules),"1,641",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2015,Total supply (petajoules),"2,224",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2019,Total supply (petajoules),"2,530",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2020,Total supply (petajoules),"2,359",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2021,Total supply (petajoules),"2,553",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,1995,Supply per capita (gigajoules),45,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2000,Supply per capita (gigajoules),36,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2005,Supply per capita (gigajoules),48,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2010,Supply per capita (gigajoules),46,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2015,Supply per capita (gigajoules),56,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2019,Supply per capita (gigajoules),59,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2020,Supply per capita (gigajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
12,Algeria,2021,Supply per capita (gigajoules),58,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2015,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2019,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2020,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2021,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2019,Net imports [Imports - Exports - Bunkers] (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2020,Net imports [Imports - Exports - Bunkers] (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2021,Net imports [Imports - Exports - Bunkers] (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,1995,Total supply (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2000,Total supply (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2005,Total supply (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2010,Total supply (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2015,Total supply (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2019,Total supply (petajoules),6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2020,Total supply (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2021,Total supply (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,1995,Supply per capita (gigajoules),121,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2000,Supply per capita (gigajoules),111,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2005,Supply per capita (gigajoules),119,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2010,Supply per capita (gigajoules),125,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2015,Supply per capita (gigajoules),110,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2019,Supply per capita (gigajoules),118,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2020,Supply per capita (gigajoules),116,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
16,American Samoa,2021,Supply per capita (gigajoules),119,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,1995,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2000,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2005,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2010,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2015,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2019,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2020,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2021,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2010,Net imports [Imports - Exports - Bunkers] (petajoules),9,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2019,Net imports [Imports - Exports - Bunkers] (petajoules),9,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2020,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2021,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,1995,Total supply (petajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2000,Total supply (petajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2005,Total supply (petajoules),10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2010,Total supply (petajoules),10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2015,Total supply (petajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2019,Total supply (petajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2020,Total supply (petajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2021,Total supply (petajoules),8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,1995,Supply per capita (gigajoules),114,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2000,Supply per capita (gigajoules),135,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2005,Supply per capita (gigajoules),127,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2010,Supply per capita (gigajoules),134,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2015,Supply per capita (gigajoules),122,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2019,Supply per capita (gigajoules),121,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2020,Supply per capita (gigajoules),96,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
20,Andorra,2021,Supply per capita (gigajoules),101,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,1995,Primary energy production (petajoules),"1,508",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2000,Primary energy production (petajoules),"1,782",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2005,Primary energy production (petajoules),"2,889",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2010,Primary energy production (petajoules),"4,016",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2015,Primary energy production (petajoules),"4,051",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2019,Primary energy production (petajoules),"3,501",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2020,Primary energy production (petajoules),"3,315",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2021,Primary energy production (petajoules),"2,940",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,224",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,475",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,565",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,547",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,501",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,885",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,808",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,391",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,1995,Changes in stocks (petajoules),17,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2000,Changes in stocks (petajoules),21,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2005,Changes in stocks (petajoules),5,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2010,Changes in stocks (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2015,Changes in stocks (petajoules),14,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2019,Changes in stocks (petajoules),60,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2020,Changes in stocks (petajoules),12,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2021,Changes in stocks (petajoules),13,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,1995,Total supply (petajoules),266,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2000,Total supply (petajoules),288,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2005,Total supply (petajoules),319,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2010,Total supply (petajoules),469,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2015,Total supply (petajoules),536,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2019,Total supply (petajoules),556,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2020,Total supply (petajoules),494,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2021,Total supply (petajoules),535,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,1995,Supply per capita (gigajoules),19,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2000,Supply per capita (gigajoules),18,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2005,Supply per capita (gigajoules),16,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2010,Supply per capita (gigajoules),20,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2015,Supply per capita (gigajoules),19,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2019,Supply per capita (gigajoules),17,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2020,Supply per capita (gigajoules),15,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
24,Angola,2021,Supply per capita (gigajoules),16,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,1995,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2000,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2005,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2010,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2015,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2019,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2020,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2021,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2000,Net imports [Imports - Exports - Bunkers] (petajoules),2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
660,Anguilla,2019,Net imports [Imports - Exports - Bunkers] (petajoules),2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
