T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2022,GDP in current prices (millions of US dollars),"2,870,757",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,1995,GDP per capita (US dollars),836,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2005,GDP per capita (US dollars),"1,264",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2010,GDP per capita (US dollars),"1,930",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2015,GDP per capita (US dollars),"2,009",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2020,GDP per capita (US dollars),"1,801",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2021,GDP per capita (US dollars),"1,964",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2022,GDP per capita (US dollars),"2,015",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,1995,GDP in constant 2015 prices (millions of US dollars),"984,617",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2005,GDP in constant 2015 prices (millions of US dollars),"1,534,059",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,995,795",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2015,GDP in constant 2015 prices (millions of US dollars),"2,409,648",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2020,GDP in constant 2015 prices (millions of US dollars),"2,635,713",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2021,GDP in constant 2015 prices (millions of US dollars),"2,777,729",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
