T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
30,Eastern Asia,1995,GDP real rates of growth (percent),5.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
30,Eastern Asia,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
30,Eastern Asia,2010,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
30,Eastern Asia,2015,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
30,Eastern Asia,2020,GDP real rates of growth (percent),0.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
30,Eastern Asia,2021,GDP real rates of growth (percent),6.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
30,Eastern Asia,2022,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,1995,GDP in current prices (millions of US dollars),"706,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2005,GDP in current prices (millions of US dollars),"962,280",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2010,GDP in current prices (millions of US dollars),"2,021,184",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2015,GDP in current prices (millions of US dollars),"2,526,717",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2020,GDP in current prices (millions of US dollars),"3,092,737",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2021,GDP in current prices (millions of US dollars),"3,384,423",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2022,GDP in current prices (millions of US dollars),"3,630,588",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,1995,GDP per capita (US dollars),"1,459",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2005,GDP per capita (US dollars),"1,711",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2010,GDP per capita (US dollars),"3,370",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2015,GDP per capita (US dollars),"3,969",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2020,GDP per capita (US dollars),"4,615",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2021,GDP per capita (US dollars),"5,008",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2022,GDP per capita (US dollars),"5,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,1995,GDP in constant 2015 prices (millions of US dollars),"1,018,089",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2005,GDP in constant 2015 prices (millions of US dollars),"1,489,036",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2010,GDP in constant 2015 prices (millions of US dollars),"1,971,902",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2015,GDP in constant 2015 prices (millions of US dollars),"2,526,717",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2020,GDP in constant 2015 prices (millions of US dollars),"2,955,288",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2021,GDP in constant 2015 prices (millions of US dollars),"3,072,093",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2022,GDP in constant 2015 prices (millions of US dollars),"3,243,635",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,1995,GDP real rates of growth (percent),7.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2005,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2010,GDP real rates of growth (percent),8.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2015,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2020,GDP real rates of growth (percent),-3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2021,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
35,South-eastern Asia,2022,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,1995,GDP in current prices (millions of US dollars),"625,199",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2005,GDP in current prices (millions of US dollars),"1,272,927",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2010,GDP in current prices (millions of US dollars),"2,595,750",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2015,GDP in current prices (millions of US dollars),"3,223,451",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2020,GDP in current prices (millions of US dollars),"3,813,952",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2021,GDP in current prices (millions of US dollars),"4,440,216",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2022,GDP in current prices (millions of US dollars),"4,761,901",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,1995,GDP per capita (US dollars),469,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2005,GDP per capita (US dollars),790,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2010,GDP per capita (US dollars),"1,495",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2015,GDP per capita (US dollars),"1,736",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2020,GDP per capita (US dollars),"1,936",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2021,GDP per capita (US dollars),"2,232",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2022,GDP per capita (US dollars),"2,372",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,1995,GDP in constant 2015 prices (millions of US dollars),"1,047,287",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2005,GDP in constant 2015 prices (millions of US dollars),"1,799,942",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2010,GDP in constant 2015 prices (millions of US dollars),"2,462,252",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2015,GDP in constant 2015 prices (millions of US dollars),"3,223,451",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2020,GDP in constant 2015 prices (millions of US dollars),"3,866,781",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2021,GDP in constant 2015 prices (millions of US dollars),"4,169,185",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2022,GDP in constant 2015 prices (millions of US dollars),"4,433,025",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,1995,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2005,GDP real rates of growth (percent),7.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2010,GDP real rates of growth (percent),7.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2015,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2020,GDP real rates of growth (percent),-3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2021,GDP real rates of growth (percent),7.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
34,Southern Asia,2022,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,1995,GDP in current prices (millions of US dollars),"667,401",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2005,GDP in current prices (millions of US dollars),"1,522,841",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2010,GDP in current prices (millions of US dollars),"2,582,395",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2015,GDP in current prices (millions of US dollars),"3,005,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2020,GDP in current prices (millions of US dollars),"2,978,931",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2021,GDP in current prices (millions of US dollars),"3,483,226",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2022,GDP in current prices (millions of US dollars),"4,170,551",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,1995,GDP per capita (US dollars),"3,921",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2005,GDP per capita (US dollars),"7,270",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2010,GDP per capita (US dollars),"10,837",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2015,GDP per capita (US dollars),"11,367",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2020,GDP per capita (US dollars),"10,406",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2021,GDP per capita (US dollars),"12,037",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2022,GDP per capita (US dollars),"14,217",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,1995,GDP in constant 2015 prices (millions of US dollars),"1,231,965",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2005,GDP in constant 2015 prices (millions of US dollars),"1,927,695",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2010,GDP in constant 2015 prices (millions of US dollars),"2,363,467",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2015,GDP in constant 2015 prices (millions of US dollars),"3,005,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2020,GDP in constant 2015 prices (millions of US dollars),"3,217,343",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2021,GDP in constant 2015 prices (millions of US dollars),"3,425,795",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2022,GDP in constant 2015 prices (millions of US dollars),"3,650,250",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,1995,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2005,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2010,GDP real rates of growth (percent),5.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2015,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2020,GDP real rates of growth (percent),-3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2021,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
145,Western Asia,2022,GDP real rates of growth (percent),6.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,1995,GDP in current prices (millions of US dollars),"10,644,346",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2005,GDP in current prices (millions of US dollars),"16,130,948",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2010,GDP in current prices (millions of US dollars),"19,895,605",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2015,GDP in current prices (millions of US dollars),"19,179,666",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2020,GDP in current prices (millions of US dollars),"21,038,432",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2021,GDP in current prices (millions of US dollars),"24,032,451",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2022,GDP in current prices (millions of US dollars),"23,858,902",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,1995,GDP per capita (US dollars),"14,605",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2005,GDP per capita (US dollars),"22,077",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2010,GDP per capita (US dollars),"26,956",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2015,GDP per capita (US dollars),"25,779",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2020,GDP per capita (US dollars),"28,119",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2021,GDP per capita (US dollars),"32,164",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2022,GDP per capita (US dollars),"32,001",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,1995,GDP in constant 2015 prices (millions of US dollars),"13,280,066",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2005,GDP in constant 2015 prices (millions of US dollars),"17,053,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2010,GDP in constant 2015 prices (millions of US dollars),"18,046,861",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2015,GDP in constant 2015 prices (millions of US dollars),"19,179,666",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2020,GDP in constant 2015 prices (millions of US dollars),"19,593,744",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2021,GDP in constant 2015 prices (millions of US dollars),"20,826,288",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2022,GDP in constant 2015 prices (millions of US dollars),"21,442,846",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,1995,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2005,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2010,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2015,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2020,GDP real rates of growth (percent),-5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2021,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
150,Europe,2022,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,1995,GDP in current prices (millions of US dollars),"794,458",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2005,GDP in current prices (millions of US dollars),"1,629,410",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2010,GDP in current prices (millions of US dollars),"2,868,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2015,GDP in current prices (millions of US dollars),"2,626,599",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2020,GDP in current prices (millions of US dollars),"3,153,538",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2021,GDP in current prices (millions of US dollars),"3,753,674",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2022,GDP in current prices (millions of US dollars),"4,150,508",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,1995,GDP per capita (US dollars),"2,563",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2005,GDP per capita (US dollars),"5,470",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2010,GDP per capita (US dollars),"9,734",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2015,GDP per capita (US dollars),"8,928",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2020,GDP per capita (US dollars),"10,769",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2021,GDP per capita (US dollars),"12,879",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2022,GDP per capita (US dollars),"14,331",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,1995,GDP in constant 2015 prices (millions of US dollars),"1,413,926",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2005,GDP in constant 2015 prices (millions of US dollars),"2,027,561",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2010,GDP in constant 2015 prices (millions of US dollars),"2,392,822",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2015,GDP in constant 2015 prices (millions of US dollars),"2,626,599",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2020,GDP in constant 2015 prices (millions of US dollars),"2,853,654",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2021,GDP in constant 2015 prices (millions of US dollars),"3,016,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2022,GDP in constant 2015 prices (millions of US dollars),"3,009,950",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,1995,GDP real rates of growth (percent),-0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2005,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2010,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2015,GDP real rates of growth (percent),0.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2020,GDP real rates of growth (percent),-3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2021,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
151,Eastern Europe,2022,GDP real rates of growth (percent),-0.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,1995,GDP in current prices (millions of US dollars),"2,175,688",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2005,GDP in current prices (millions of US dollars),"4,000,522",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2010,GDP in current prices (millions of US dollars),"4,299,610",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2015,GDP in current prices (millions of US dollars),"4,759,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2020,GDP in current prices (millions of US dollars),"4,812,044",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2021,GDP in current prices (millions of US dollars),"5,656,400",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2022,GDP in current prices (millions of US dollars),"5,652,647",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,1995,GDP per capita (US dollars),"23,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2005,GDP per capita (US dollars),"41,620",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2010,GDP per capita (US dollars),"43,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
154,Northern Europe,2015,GDP per capita (US dollars),"46,350",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
