Model,RMSE,MAE,R2
Linear,23.326203897811176,16.394074004864137,0.11862345996630974
Ridge,23.326294562481703,16.39418181103312,0.11861660845551492
Lasso,23.322026714647556,16.38875191618505,0.11893909997433838
Random Forest,23.509763990375532,16.557236694627015,0.10469730835179158
