"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2016,119,104,15,0,0,0,0,79,53,26,0,0,0,111,8
"Aberdeen, WA","10140",2016,364,330,34,0,0,0,0,75,49,28,0,0,0,364,0
"Adjuntas, PR","10260",2016,97,85,12,0,0,0,0,75,55,28,0,0,0,97,0
"Adrian, MI","10300",2016,361,223,136,2,0,0,0,119,62,44,0,0,125,236,0
"Akron, OH","10420",2016,366,155,210,1,0,0,0,112,65,53,0,0,73,293,0
"Albany, GA","10500",2016,363,187,176,0,0,0,0,94,63,48,0,0,0,363,0
"Albany, OR","10540",2016,366,298,68,0,0,0,0,80,56,26,0,0,0,366,0
"Albany-Schenectady-Troy, NY","10580",2016,366,278,85,3,0,0,0,119,61,39,0,0,243,123,0
"Albuquerque, NM","10740",2016,366,164,199,3,0,0,0,143,74,53,0,2,216,103,45
"Alexandria, LA","10780",2016,102,68,34,0,0,0,0,66,55,45,0,0,0,102,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2016,366,85,270,10,0,1,0,242,77,57,0,1,69,296,0
"Altoona, PA","11020",2016,366,230,134,2,0,0,0,122,64,44,0,0,149,214,3
"Amarillo, TX","11100",2016,366,312,53,1,0,0,0,112,54,41,0,0,299,67,0
"Americus, GA","11140",2016,245,218,26,1,0,0,0,101,54,39,0,0,245,0,0
"Ames, IA","11180",2016,212,198,14,0,0,0,0,77,48,35,0,0,212,0,0
"Anchorage, AK","11260",2016,366,221,141,4,0,0,0,128,71,43,0,0,93,201,72
"Ann Arbor, MI","11460",2016,366,233,127,6,0,0,0,122,62,44,0,0,160,206,0
"Appleton, WI","11540",2016,349,272,75,2,0,0,0,108,60,36,0,0,155,194,0
"Ardmore, OK","11620",2016,298,241,54,3,0,0,0,129,61,42,0,0,246,52,0
"Arkadelphia, AR","11660",2016,355,351,4,0,0,0,0,54,45,34,0,0,355,0,0
"Asheville, NC","11700",2016,366,230,125,7,4,0,0,173,64,45,0,0,152,214,0
"Ashtabula, OH","11780",2016,213,171,36,6,0,0,0,126,64,41,0,0,213,0,0
"Athens, OH","11900",2016,60,52,8,0,0,0,0,61,53,36,0,0,0,60,0
"Athens, TN","11940",2016,119,76,42,0,1,0,0,172,58,43,0,0,0,119,0
"Athens-Clarke County, GA","12020",2016,362,241,115,4,2,0,0,166,64,44,0,0,139,223,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2016,366,40,294,28,4,0,0,200,97,61,0,0,112,254,0
"Atlantic City-Hammonton, NJ","12100",2016,364,270,93,1,0,0,0,129,58,41,0,0,205,159,0
"Augusta-Richmond County, GA-SC","12260",2016,366,192,169,3,2,0,0,171,65,49,0,0,127,239,0
"Augusta-Waterville, ME","12300",2016,309,291,18,0,0,0,0,84,47,31,0,76,204,27,2
"Austin-Round Rock, TX","12420",2016,366,219,146,1,0,0,0,105,63,47,0,11,141,213,1
"Bakersfield, CA","12540",2016,366,46,204,102,14,0,0,169,136,80,0,0,211,148,7
"Baltimore-Columbia-Towson, MD","12580",2016,366,129,213,19,4,1,0,204,90,55,0,9,136,221,0
"Bangor, ME","12620",2016,366,265,101,0,0,0,0,78,58,42,0,0,131,235,0
