"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2018,121,104,15,1,0,0,1,421,53,32,0,0,0,118,3
"Aberdeen, WA","10140",2018,365,324,37,1,3,0,0,168,51,29,0,0,0,365,0
"Adjuntas, PR","10260",2018,27,27,0,0,0,0,0,42,30,19,0,0,0,27,0
"Adrian, MI","10300",2018,344,246,94,4,0,0,0,115,68,43,0,0,187,157,0
"Akron, OH","10420",2018,365,197,167,1,0,0,0,105,68,49,0,0,113,252,0
"Albany, GA","10500",2018,357,227,129,1,0,0,0,137,62,39,0,0,0,357,0
"Albany, OR","10540",2018,365,254,106,5,0,0,0,122,66,36,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2018,365,246,116,3,0,0,0,119,63,42,0,0,154,211,0
"Albuquerque, NM","10740",2018,365,129,212,23,1,0,0,165,90,57,0,0,229,98,38
"Alexandria, LA","10780",2018,119,84,35,0,0,0,0,92,61,41,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2018,365,180,180,5,0,0,0,136,77,51,0,0,107,258,0
"Altoona, PA","11020",2018,359,244,114,1,0,0,0,132,63,42,0,0,186,173,0
"Amarillo, TX","11100",2018,365,253,102,10,0,0,0,134,74,44,0,0,310,55,0
"Americus, GA","11140",2018,241,219,22,0,0,0,0,80,50,34,0,0,241,0,0
"Anchorage, AK","11260",2018,365,269,92,3,1,0,0,151,64,34,0,0,96,222,47
"Ann Arbor, MI","11460",2018,365,238,121,6,0,0,0,150,67,46,0,0,161,204,0
"Appleton, WI","11540",2018,361,264,96,1,0,0,0,101,63,42,0,0,187,174,0
"Ardmore, OK","11620",2018,365,204,152,9,0,0,0,129,74,47,0,0,156,209,0
"Arkadelphia, AR","11660",2018,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0
"Asheville, NC","11700",2018,364,240,123,1,0,0,0,105,62,44,0,0,171,193,0
"Ashtabula, OH","11780",2018,244,208,33,3,0,0,0,129,61,39,0,0,244,0,0
"Athens, OH","11900",2018,94,75,19,0,0,0,0,62,55,37,0,0,0,94,0
"Athens, TN","11940",2018,356,246,110,0,0,0,0,71,57,39,0,0,0,356,0
