"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2010,274,161,107,6,0,0,0,150,71,47,0,0,172,102,0
"Alabama","Clay",2010,113,46,67,0,0,0,0,87,64,53,0,0,0,113,0
"Alabama","Colbert",2010,355,124,230,1,0,0,0,105,70,54,0,0,87,268,0
"Alabama","DeKalb",2010,358,227,127,4,0,0,0,101,74,44,0,0,288,70,0
"Alabama","Elmore",2010,241,181,55,5,0,0,0,112,71,43,0,0,241,0,0
"Alabama","Etowah",2010,363,69,293,1,0,0,0,104,77,59,0,0,44,319,0
"Alabama","Houston",2010,357,125,228,4,0,0,0,115,71,55,0,0,73,284,0
"Alabama","Jefferson",2010,365,55,280,26,4,0,0,166,97,63,0,0,95,249,21
"Alabama","Lawrence",2010,112,65,47,0,0,0,0,64,59,45,0,0,0,112,0
"Alabama","Madison",2010,335,205,126,4,0,0,0,136,74,47,0,0,188,97,50
"Alabama","Mobile",2010,363,245,110,8,0,0,0,140,74,42,0,0,188,90,85
"Alabama","Montgomery",2010,364,106,252,6,0,0,0,129,73,56,0,0,68,295,1
"Alabama","Morgan",2010,361,109,249,3,0,0,0,108,74,56,0,0,111,250,0
"Alabama","Russell",2010,287,146,139,2,0,0,0,108,74,50,0,0,179,108,0
"Alabama","Shelby",2010,278,152,119,5,2,0,0,156,80,48,0,0,198,80,0
"Alabama","Sumter",2010,242,206,35,1,0,0,0,119,64,39,0,0,242,0,0
"Alabama","Talladega",2010,117,37,80,0,0,0,0,79,66,55,0,0,0,117,0
"Alabama","Tuscaloosa",2010,365,47,318,0,0,0,0,90,75,60,0,0,3,362,0
"Alabama","Walker",2010,113,35,78,0,0,0,0,77,66,54,0,0,0,113,0
"Alaska","Aleutians East ",2010,102,102,0,0,0,0,0,45,22,11,0,0,0,102,0
"Alaska","Anchorage ",2010,365,270,93,2,0,0,0,127,64,36,10,0,90,214,51
"Alaska","Denali ",2010,363,363,0,0,0,0,0,49,44,33,0,0,362,1,0
