"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2010,119,80,39,0,0,0,0,92,61,41,0,0,0,116,3
"Aberdeen, WA","10140",2010,365,355,10,0,0,0,0,76,38,22,0,0,0,365,0
"Adrian, MI","10300",2010,216,133,82,1,0,0,0,103,71,46,0,0,121,95,0
"Akron, OH","10420",2010,365,79,268,18,0,0,0,140,90,63,1,0,48,316,0
"Albany, GA","10500",2010,357,113,241,2,1,0,0,158,73,56,0,0,0,354,3
"Albany, OR","10540",2010,365,225,140,0,0,0,0,89,66,34,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2010,365,216,140,9,0,0,0,147,72,45,0,0,195,170,0
"Albuquerque, NM","10740",2010,365,53,307,5,0,0,0,146,81,62,0,4,159,164,38
"Alexandria, LA","10780",2010,119,70,49,0,0,0,0,79,62,46,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2010,365,109,229,25,2,0,0,172,97,58,0,4,85,274,2
"Altoona, PA","11020",2010,365,285,71,9,0,0,0,147,71,34,0,0,206,55,104
"Amarillo, TX","11100",2010,365,306,59,0,0,0,0,84,53,42,0,0,266,99,0
"Americus, GA","11140",2010,234,189,43,2,0,0,0,108,64,42,0,0,234,0,0
"Ames, IA","11180",2010,214,200,14,0,0,0,0,90,49,36,0,0,214,0,0
"Anchorage, AK","11260",2010,365,260,100,5,0,0,0,127,64,37,7,0,86,224,48
"Ann Arbor, MI","11460",2010,362,273,88,1,0,0,0,119,67,39,0,0,300,62,0
"Appleton, WI","11540",2010,261,208,49,4,0,0,0,108,61,40,0,0,175,86,0
"Ardmore, OK","11620",2010,364,219,143,2,0,0,0,108,67,46,0,0,171,193,0
"Arkadelphia, AR","11660",2010,359,310,45,4,0,0,0,126,58,35,0,0,359,0,0
"Asheville, NC","11700",2010,364,141,213,10,0,0,0,122,77,54,0,0,111,253,0
"Ashtabula, OH","11780",2010,214,146,50,17,1,0,0,156,93,44,0,0,214,0,0
"Athens, OH","11900",2010,361,290,68,3,0,0,0,119,64,33,0,120,197,44,0
"Athens, TN","11940",2010,353,352,1,0,0,0,0,52,29,18,0,311,0,0,42
"Athens-Clarke County, GA","12020",2010,365,153,207,5,0,0,0,147,77,54,0,0,106,259,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2010,365,50,268,40,7,0,0,182,105,64,0,1,122,242,0
"Atlantic City-Hammonton, NJ","12100",2010,365,233,123,9,0,0,0,150,73,44,0,0,226,139,0
"Augusta-Richmond County, GA-SC","12260",2010,365,135,224,6,0,0,0,136,77,55,0,0,121,244,0
"Augusta-Waterville, ME","12300",2010,237,222,14,1,0,0,0,129,47,36,0,0,212,0,25
"Austin-Round Rock, TX","12420",2010,365,218,137,10,0,0,0,133,70,46,0,0,144,221,0
"Bakersfield, CA","12540",2010,365,43,197,85,38,2,0,202,151,81,0,0,177,185,3
"Baltimore-Columbia-Towson, MD","12580",2010,365,114,198,33,19,1,0,210,115,59,0,3,152,210,0
"Bangor, ME","12620",2010,365,299,66,0,0,0,0,90,57,38,0,0,182,183,0
"Baraboo, WI","12660",2010,270,213,56,1,0,0,0,111,58,40,0,0,193,77,0
"Barnstable Town, MA","12700",2010,267,221,39,6,1,0,0,151,64,40,0,0,208,59,0
"Baton Rouge, LA","12940",2010,365,52,278,32,3,0,0,192,100,63,0,2,103,259,1
