T26,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
3,North America,1975,Emissions per capita (Kilograms of carbon dioxide),20.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1985,Emissions per capita (Kilograms of carbon dioxide),18.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2005,Emissions per capita (Kilograms of carbon dioxide),19.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2010,Emissions per capita (Kilograms of carbon dioxide),17.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2015,Emissions per capita (Kilograms of carbon dioxide),15.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2019,Emissions per capita (Kilograms of carbon dioxide),14.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2020,Emissions per capita (Kilograms of carbon dioxide),12.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2021,Emissions per capita (Kilograms of carbon dioxide),13.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1975,Emissions (thousand metric tons of carbon dioxide),"609,407",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1985,Emissions (thousand metric tons of carbon dioxide),"824,577",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2005,Emissions (thousand metric tons of carbon dioxide),"1,382,217",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2010,Emissions (thousand metric tons of carbon dioxide),"1,571,772",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2015,Emissions (thousand metric tons of carbon dioxide),"1,693,344",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2019,Emissions (thousand metric tons of carbon dioxide),"1,586,770",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2020,Emissions (thousand metric tons of carbon dioxide),"1,425,855",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2021,Emissions (thousand metric tons of carbon dioxide),"1,558,039",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1975,Emissions per capita (Kilograms of carbon dioxide),1.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
