T26,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
152,Chile,2005,Emissions (thousand metric tons of carbon dioxide),"56,304",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2010,Emissions (thousand metric tons of carbon dioxide),"70,798",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2015,Emissions (thousand metric tons of carbon dioxide),"83,646",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2019,Emissions (thousand metric tons of carbon dioxide),"93,031",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2020,Emissions (thousand metric tons of carbon dioxide),"81,069",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2021,Emissions (thousand metric tons of carbon dioxide),"84,651",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,1975,Emissions per capita (Kilograms of carbon dioxide),1.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,1985,Emissions per capita (Kilograms of carbon dioxide),1.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2005,Emissions per capita (Kilograms of carbon dioxide),3.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2010,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2015,Emissions per capita (Kilograms of carbon dioxide),4.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2019,Emissions per capita (Kilograms of carbon dioxide),4.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2020,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
152,Chile,2021,Emissions per capita (Kilograms of carbon dioxide),4.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,1975,Emissions (thousand metric tons of carbon dioxide),"1,171,021","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,1985,Emissions (thousand metric tons of carbon dioxide),"1,902,577","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2005,Emissions (thousand metric tons of carbon dioxide),"5,379,200","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2010,Emissions (thousand metric tons of carbon dioxide),"7,953,561","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2015,Emissions (thousand metric tons of carbon dioxide),"8,989,229","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2019,Emissions (thousand metric tons of carbon dioxide),"9,716,731","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2020,Emissions (thousand metric tons of carbon dioxide),"9,850,052","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2021,Emissions (thousand metric tons of carbon dioxide),"10,424,722","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,1975,Emissions per capita (Kilograms of carbon dioxide),1.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,1985,Emissions per capita (Kilograms of carbon dioxide),1.8,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2005,Emissions per capita (Kilograms of carbon dioxide),4.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2010,Emissions per capita (Kilograms of carbon dioxide),5.9,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2015,Emissions per capita (Kilograms of carbon dioxide),6.5,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2019,Emissions per capita (Kilograms of carbon dioxide),6.8,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2020,Emissions per capita (Kilograms of carbon dioxide),6.9,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
156,China,2021,Emissions per capita (Kilograms of carbon dioxide),7.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",1975,Emissions (thousand metric tons of carbon dioxide),"10,963",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",1985,Emissions (thousand metric tons of carbon dioxide),"22,857",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2005,Emissions (thousand metric tons of carbon dioxide),"44,989",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2010,Emissions (thousand metric tons of carbon dioxide),"40,999",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2015,Emissions (thousand metric tons of carbon dioxide),"43,254",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2019,Emissions (thousand metric tons of carbon dioxide),"42,845",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2020,Emissions (thousand metric tons of carbon dioxide),"34,065",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2021,Emissions (thousand metric tons of carbon dioxide),"34,301",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",1975,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",1985,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2005,Emissions per capita (Kilograms of carbon dioxide),6.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2010,Emissions per capita (Kilograms of carbon dioxide),5.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2015,Emissions per capita (Kilograms of carbon dioxide),5.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2019,Emissions per capita (Kilograms of carbon dioxide),5.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2020,Emissions per capita (Kilograms of carbon dioxide),4.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
344,"China, Hong Kong SAR",2021,Emissions per capita (Kilograms of carbon dioxide),4.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",1975,Emissions (thousand metric tons of carbon dioxide),304,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",1985,Emissions (thousand metric tons of carbon dioxide),751,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2005,Emissions (thousand metric tons of carbon dioxide),"1,714",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2010,Emissions (thousand metric tons of carbon dioxide),"1,247",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2015,Emissions (thousand metric tons of carbon dioxide),"1,636",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2019,Emissions (thousand metric tons of carbon dioxide),"1,108",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2020,Emissions (thousand metric tons of carbon dioxide),920,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2021,Emissions (thousand metric tons of carbon dioxide),914,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",1975,Emissions per capita (Kilograms of carbon dioxide),1.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",1985,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2005,Emissions per capita (Kilograms of carbon dioxide),3.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2010,Emissions per capita (Kilograms of carbon dioxide),2.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2015,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2019,Emissions per capita (Kilograms of carbon dioxide),1.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2020,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
446,"China, Macao SAR",2021,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,1975,Emissions (thousand metric tons of carbon dioxide),"33,510",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,1985,Emissions (thousand metric tons of carbon dioxide),"45,355",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2005,Emissions (thousand metric tons of carbon dioxide),"56,461",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2010,Emissions (thousand metric tons of carbon dioxide),"72,556",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2015,Emissions (thousand metric tons of carbon dioxide),"92,715",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2019,Emissions (thousand metric tons of carbon dioxide),"88,981",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2020,Emissions (thousand metric tons of carbon dioxide),"84,422",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2021,Emissions (thousand metric tons of carbon dioxide),"88,018",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,1975,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,1985,Emissions per capita (Kilograms of carbon dioxide),1.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2005,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2010,Emissions per capita (Kilograms of carbon dioxide),1.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2015,Emissions per capita (Kilograms of carbon dioxide),2.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2019,Emissions per capita (Kilograms of carbon dioxide),1.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2020,Emissions per capita (Kilograms of carbon dioxide),1.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
170,Colombia,2021,Emissions per capita (Kilograms of carbon dioxide),1.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,1975,Emissions (thousand metric tons of carbon dioxide),34,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,1985,Emissions (thousand metric tons of carbon dioxide),47,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2005,Emissions (thousand metric tons of carbon dioxide),147,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2010,Emissions (thousand metric tons of carbon dioxide),167,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2015,Emissions (thousand metric tons of carbon dioxide),183,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2019,Emissions (thousand metric tons of carbon dioxide),320,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2020,Emissions (thousand metric tons of carbon dioxide),380,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2021,Emissions (thousand metric tons of carbon dioxide),511,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,1975,Emissions per capita (Kilograms of carbon dioxide),0.1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,1985,Emissions per capita (Kilograms of carbon dioxide),0.1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2005,Emissions per capita (Kilograms of carbon dioxide),0.2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2010,Emissions per capita (Kilograms of carbon dioxide),0.3,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2015,Emissions per capita (Kilograms of carbon dioxide),0.3,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2019,Emissions per capita (Kilograms of carbon dioxide),0.4,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2020,Emissions per capita (Kilograms of carbon dioxide),0.5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
174,Comoros,2021,Emissions per capita (Kilograms of carbon dioxide),0.6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,1975,Emissions (thousand metric tons of carbon dioxide),375,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,1985,Emissions (thousand metric tons of carbon dioxide),"1,091",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2005,Emissions (thousand metric tons of carbon dioxide),965,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2010,Emissions (thousand metric tons of carbon dioxide),"1,951",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2015,Emissions (thousand metric tons of carbon dioxide),"3,204",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2019,Emissions (thousand metric tons of carbon dioxide),"3,922",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2020,Emissions (thousand metric tons of carbon dioxide),"4,147",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2021,Emissions (thousand metric tons of carbon dioxide),"4,308",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,1975,Emissions per capita (Kilograms of carbon dioxide),0.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,1985,Emissions per capita (Kilograms of carbon dioxide),0.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2005,Emissions per capita (Kilograms of carbon dioxide),0.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2010,Emissions per capita (Kilograms of carbon dioxide),0.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2015,Emissions per capita (Kilograms of carbon dioxide),0.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2019,Emissions per capita (Kilograms of carbon dioxide),0.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2020,Emissions per capita (Kilograms of carbon dioxide),0.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
178,Congo,2021,Emissions per capita (Kilograms of carbon dioxide),0.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,1975,Emissions (thousand metric tons of carbon dioxide),16,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,1985,Emissions (thousand metric tons of carbon dioxide),22,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2005,Emissions (thousand metric tons of carbon dioxide),60,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2010,Emissions (thousand metric tons of carbon dioxide),73,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2015,Emissions (thousand metric tons of carbon dioxide),80,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2019,Emissions (thousand metric tons of carbon dioxide),82,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2020,Emissions (thousand metric tons of carbon dioxide),69,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2021,Emissions (thousand metric tons of carbon dioxide),75,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,1975,Emissions per capita (Kilograms of carbon dioxide),0.8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,1985,Emissions per capita (Kilograms of carbon dioxide),1.2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2005,Emissions per capita (Kilograms of carbon dioxide),3.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2010,Emissions per capita (Kilograms of carbon dioxide),4.2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2015,Emissions per capita (Kilograms of carbon dioxide),4.5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2019,Emissions per capita (Kilograms of carbon dioxide),4.8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2020,Emissions per capita (Kilograms of carbon dioxide),4.1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
184,Cook Islands,2021,Emissions per capita (Kilograms of carbon dioxide),4.4,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,1975,Emissions (thousand metric tons of carbon dioxide),"1,907",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,1985,Emissions (thousand metric tons of carbon dioxide),"2,059",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2005,Emissions (thousand metric tons of carbon dioxide),"6,002",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2010,Emissions (thousand metric tons of carbon dioxide),"7,118",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2015,Emissions (thousand metric tons of carbon dioxide),"6,904",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2019,Emissions (thousand metric tons of carbon dioxide),"7,344",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2020,Emissions (thousand metric tons of carbon dioxide),"6,511",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2021,Emissions (thousand metric tons of carbon dioxide),"7,398",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,1975,Emissions per capita (Kilograms of carbon dioxide),0.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,1985,Emissions per capita (Kilograms of carbon dioxide),0.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2005,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2010,Emissions per capita (Kilograms of carbon dioxide),1.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2015,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2019,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2020,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
188,Costa Rica,2021,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,1975,Emissions (thousand metric tons of carbon dioxide),"4,032",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,1985,Emissions (thousand metric tons of carbon dioxide),"7,033",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2005,Emissions (thousand metric tons of carbon dioxide),"7,500",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2010,Emissions (thousand metric tons of carbon dioxide),"6,059",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2015,Emissions (thousand metric tons of carbon dioxide),"9,475",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2019,Emissions (thousand metric tons of carbon dioxide),"10,534",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2020,Emissions (thousand metric tons of carbon dioxide),"11,050",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2021,Emissions (thousand metric tons of carbon dioxide),"13,753",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,1975,Emissions per capita (Kilograms of carbon dioxide),0.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,1985,Emissions per capita (Kilograms of carbon dioxide),0.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2005,Emissions per capita (Kilograms of carbon dioxide),0.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2010,Emissions per capita (Kilograms of carbon dioxide),0.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2015,Emissions per capita (Kilograms of carbon dioxide),0.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2019,Emissions per capita (Kilograms of carbon dioxide),0.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2020,Emissions per capita (Kilograms of carbon dioxide),0.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
384,Côte d’Ivoire,2021,Emissions per capita (Kilograms of carbon dioxide),0.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2005,Emissions (thousand metric tons of carbon dioxide),"20,155",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2010,Emissions (thousand metric tons of carbon dioxide),"18,420",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2015,Emissions (thousand metric tons of carbon dioxide),"15,644",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2019,Emissions (thousand metric tons of carbon dioxide),"15,362",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2020,Emissions (thousand metric tons of carbon dioxide),"14,475",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2021,Emissions (thousand metric tons of carbon dioxide),"15,081",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
191,Croatia,2005,Emissions per capita (Kilograms of carbon dioxide),4.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
