"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2013,273,213,60,0,0,0,0,87,58,40,0,0,177,96,0
"Alabama","Clay",2013,118,79,39,0,0,0,0,69,58,42,0,0,0,118,0
"Alabama","Colbert",2013,285,225,60,0,0,0,0,80,56,40,0,0,188,97,0
"Alabama","DeKalb",2013,360,288,72,0,0,0,0,93,55,40,0,0,272,88,0
"Alabama","Elmore",2013,244,229,15,0,0,0,0,87,48,36,0,0,244,0,0
"Alabama","Etowah",2013,281,217,64,0,0,0,0,90,57,41,0,0,176,105,0
"Alabama","Houston",2013,285,238,47,0,0,0,0,84,55,39,0,0,186,99,0
"Alabama","Jefferson",2013,365,95,268,2,0,0,0,129,71,56,0,0,46,319,0
"Alabama","Lawrence",2013,109,83,26,0,0,0,0,66,55,36,0,0,0,109,0
"Alabama","Madison",2013,336,255,81,0,0,0,0,90,59,43,0,0,196,87,53
"Alabama","Mobile",2013,285,220,65,0,0,0,0,90,58,40,0,0,198,87,0
"Alabama","Montgomery",2013,285,208,77,0,0,0,0,87,59,42,0,0,181,104,0
"Alabama","Morgan",2013,282,215,67,0,0,0,0,87,57,42,0,0,184,98,0
"Alabama","Russell",2013,284,201,83,0,0,0,0,93,61,43,0,0,181,103,0
"Alabama","Shelby",2013,285,206,78,1,0,0,0,101,60,42,0,0,187,98,0
"Alabama","Sumter",2013,220,213,7,0,0,0,0,90,43,31,0,0,220,0,0
"Alabama","Talladega",2013,114,58,56,0,0,0,0,67,60,50,0,0,0,114,0
"Alabama","Tuscaloosa",2013,281,227,54,0,0,0,0,72,56,40,0,0,183,98,0
"Alaska","Aleutians East ",2013,105,105,0,0,0,0,0,46,25,12,0,0,0,105,0
"Alaska","Anchorage ",2013,365,286,78,0,1,0,0,151,59,31,10,0,0,265,90
"Alaska","Denali ",2013,359,357,2,0,0,0,0,58,44,32,0,0,353,6,0
"Alaska","Fairbanks North Star ",2013,365,159,147,31,27,1,0,213,133,53,0,0,40,321,4
"Alaska","Juneau ",2013,346,280,64,2,0,0,0,107,58,25,0,0,0,335,11
