"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2013,121,90,31,0,0,0,0,77,60,34,0,0,0,115,6
"Aberdeen, WA","10140",2013,365,276,89,0,0,0,0,75,59,28,0,0,0,365,0
"Adjuntas, PR","10260",2013,93,85,8,0,0,0,0,59,48,22,0,0,0,93,0
"Adrian, MI","10300",2013,245,173,71,1,0,0,0,105,61,43,0,0,154,91,0
"Akron, OH","10420",2013,365,280,83,2,0,0,0,146,61,33,101,0,148,116,0
"Albany, GA","10500",2013,364,139,220,5,0,0,0,126,69,53,0,0,0,364,0
"Albany, OR","10540",2013,365,253,107,5,0,0,0,111,68,31,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2013,365,259,106,0,0,0,0,97,62,42,0,0,217,148,0
"Albuquerque, NM","10740",2013,365,94,262,9,0,0,0,145,82,57,0,0,172,156,37
"Alexandria, LA","10780",2013,362,121,240,1,0,0,0,105,67,54,0,0,0,362,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2013,365,126,229,10,0,0,0,134,79,55,0,2,84,279,0
"Altoona, PA","11020",2013,365,120,242,3,0,0,0,115,71,54,0,0,62,303,0
"Amarillo, TX","11100",2013,365,259,104,2,0,0,0,122,74,44,0,0,308,57,0
"Americus, GA","11140",2013,245,232,13,0,0,0,0,80,48,36,0,0,245,0,0
"Ames, IA","11180",2013,214,196,18,0,0,0,0,80,49,41,0,0,214,0,0
"Anchorage, AK","11260",2013,365,250,110,4,1,0,0,151,64,37,2,0,0,289,74
"Ann Arbor, MI","11460",2013,364,282,81,1,0,0,0,101,61,38,0,0,296,68,0
"Appleton, WI","11540",2013,365,211,153,1,0,0,0,105,67,46,0,0,114,251,0
"Ardmore, OK","11620",2013,339,174,150,15,0,0,0,150,77,50,0,0,156,183,0
"Arkadelphia, AR","11660",2013,318,298,19,1,0,0,0,112,47,33,0,0,318,0,0
"Asheville, NC","11700",2013,365,234,131,0,0,0,0,97,61,47,0,0,110,255,0
"Ashtabula, OH","11780",2013,213,178,33,2,0,0,0,108,64,39,0,0,213,0,0
"Athens, OH","11900",2013,57,37,20,0,0,0,0,69,58,44,0,0,0,57,0
"Athens, TN","11940",2013,100,59,41,0,0,0,0,69,62,47,0,0,0,100,0
"Athens-Clarke County, GA","12020",2013,365,197,168,0,0,0,0,92,65,47,0,0,53,312,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2013,365,78,274,12,1,0,0,177,77,58,0,3,76,286,0
"Atlantic City-Hammonton, NJ","12100",2013,360,274,83,2,1,0,0,154,61,41,0,0,257,103,0
"Augusta-Richmond County, GA-SC","12260",2013,364,182,181,1,0,0,0,102,65,51,0,0,74,290,0
"Augusta-Waterville, ME","12300",2013,361,349,11,1,0,0,0,108,44,30,0,130,222,0,9
"Austin-Round Rock, TX","12420",2013,365,191,170,4,0,0,0,129,73,49,0,0,154,211,0
"Bakersfield, CA","12540",2013,365,14,215,104,31,1,0,242,148,90,0,0,154,209,2
"Baltimore-Columbia-Towson, MD","12580",2013,365,133,222,10,0,0,0,133,81,54,0,3,123,239,0
"Bangor, ME","12620",2013,363,301,61,1,0,0,0,119,57,36,0,0,185,178,0
"Baraboo, WI","12660",2013,364,245,119,0,0,0,0,90,62,42,0,0,141,222,1
