"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2019,122,104,18,0,0,0,0,80,53,25,0,0,0,119,3
"Aberdeen, WA","10140",2019,352,327,25,0,0,0,0,62,47,27,0,0,0,352,0
"Adjuntas, PR","10260",2019,117,98,19,0,0,0,0,70,54,24,0,0,0,117,0
"Adrian, MI","10300",2019,358,233,125,0,0,0,0,91,61,44,0,0,122,236,0
"Akron, OH","10420",2019,364,200,161,3,0,0,0,115,65,48,0,0,122,242,0
"Albany, GA","10500",2019,356,163,191,2,0,0,0,107,68,52,0,0,0,356,0
"Albany, OR","10540",2019,365,233,130,2,0,0,0,104,66,37,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2019,365,276,89,0,0,0,0,93,58,41,0,0,164,201,0
"Albuquerque, NM","10740",2019,365,132,229,4,0,0,0,108,77,55,0,0,226,104,35
"Alexandria, LA","10780",2019,119,88,31,0,0,0,0,74,58,40,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2019,365,223,138,4,0,0,0,119,67,46,0,3,131,231,0
"Altoona, PA","11020",2019,352,220,132,0,0,0,0,93,64,46,0,0,147,205,0
"Amarillo, TX","11100",2019,365,266,97,2,0,0,0,112,61,42,0,0,304,61,0
"Americus, GA","11140",2019,238,211,27,0,0,0,0,97,54,39,0,0,238,0,0
"Anchorage, AK","11260",2019,365,233,120,8,4,0,0,163,73,37,1,0,0,294,70
"Ann Arbor, MI","11460",2019,365,248,117,0,0,0,0,89,61,44,0,0,174,191,0
"Appleton, WI","11540",2019,365,258,105,2,0,0,0,119,63,41,0,0,115,250,0
"Ardmore, OK","11620",2019,365,228,137,0,0,0,0,97,61,46,0,0,157,208,0
"Arkadelphia, AR","11660",2019,355,347,8,0,0,0,0,67,46,32,0,0,355,0,0
"Asheville, NC","11700",2019,365,250,115,0,0,0,0,97,61,46,0,0,193,172,0
"Ashtabula, OH","11780",2019,245,221,23,1,0,0,0,112,50,39,0,0,245,0,0
"Athens, OH","11900",2019,120,99,21,0,0,0,0,61,53,33,0,0,0,120,0
"Athens, TN","11940",2019,357,239,118,0,0,0,0,69,57,41,0,0,0,357,0
"Athens-Clarke County, GA","12020",2019,365,171,194,0,0,0,0,87,65,52,0,0,69,296,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2019,365,103,243,18,1,0,0,172,87,58,0,1,121,243,0
"Atlantic City-Hammonton, NJ","12100",2019,365,270,94,1,0,0,0,105,55,42,0,0,178,187,0
"Augusta-Richmond County, GA-SC","12260",2019,365,149,214,2,0,0,0,101,67,53,0,0,78,287,0
