"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2017,122,108,14,0,0,0,0,97,52,31,0,0,0,119,3
"Aberdeen, WA","10140",2017,365,313,49,2,1,0,0,162,53,27,0,0,0,365,0
"Adjuntas, PR","10260",2017,47,35,12,0,0,0,0,90,60,37,0,0,0,47,0
"Adrian, MI","10300",2017,364,248,115,1,0,0,0,101,61,44,0,0,138,226,0
"Akron, OH","10420",2017,365,218,147,0,0,0,0,97,64,46,0,0,129,236,0
"Albany, GA","10500",2017,356,181,174,0,1,0,0,151,64,50,0,0,0,356,0
"Albany, OR","10540",2017,365,254,102,4,5,0,0,186,65,32,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2017,365,253,112,0,0,0,0,90,58,42,0,0,188,177,0
"Albuquerque, NM","10740",2017,365,140,221,4,0,0,0,119,80,54,0,1,238,71,55
"Alexandria, LA","10780",2017,107,69,38,0,0,0,0,69,56,41,0,0,0,107,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2017,365,103,261,1,0,0,0,119,76,56,0,0,71,294,0
"Altoona, PA","11020",2017,362,223,139,0,0,0,0,89,62,45,0,0,151,211,0
"Amarillo, TX","11100",2017,365,272,92,1,0,0,0,105,61,44,0,0,315,50,0
"Americus, GA","11140",2017,241,229,12,0,0,0,0,67,47,35,0,0,241,0,0
"Anchorage, AK","11260",2017,365,272,87,5,1,0,0,157,66,34,1,0,132,178,54
"Ann Arbor, MI","11460",2017,365,216,146,3,0,0,0,119,64,46,0,0,158,207,0
"Appleton, WI","11540",2017,357,280,77,0,0,0,0,90,58,37,0,0,182,175,0
"Ardmore, OK","11620",2017,325,177,140,7,1,0,0,151,69,50,0,0,155,170,0
"Arkadelphia, AR","11660",2017,358,345,13,0,0,0,0,74,45,34,0,0,358,0,0
"Asheville, NC","11700",2017,365,237,128,0,0,0,0,84,61,46,0,0,165,200,0
"Ashtabula, OH","11780",2017,245,212,31,2,0,0,0,143,58,39,0,0,245,0,0
"Athens, OH","11900",2017,59,46,13,0,0,0,0,61,54,34,0,0,0,59,0
"Athens, TN","11940",2017,221,142,79,0,0,0,0,70,59,43,0,0,0,221,0
"Athens-Clarke County, GA","12020",2017,360,249,111,0,0,0,0,97,58,43,0,0,111,249,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2017,365,105,249,11,0,0,0,150,80,56,0,4,106,255,0
"Atlantic City-Hammonton, NJ","12100",2017,365,268,97,0,0,0,0,90,58,41,0,0,225,140,0
"Augusta-Richmond County, GA-SC","12260",2017,365,179,184,1,0,0,1,357,66,51,0,0,111,252,2
"Augusta-Waterville, ME","12300",2017,360,342,18,0,0,0,0,100,44,31,0,99,230,30,1
"Austin-Round Rock, TX","12420",2017,365,185,176,4,0,0,0,130,66,50,0,6,122,237,0
"Bakersfield, CA","12540",2017,365,59,167,115,24,0,0,197,140,85,0,0,236,121,8
"Baltimore-Columbia-Towson, MD","12580",2017,365,157,193,13,2,0,0,166,75,52,0,6,147,212,0
"Bangor, ME","12620",2017,348,306,42,0,0,0,0,80,52,34,0,0,151,194,3
"Baraboo, WI","12660",2017,364,270,94,0,0,0,0,87,58,39,0,0,126,238,0
"Barnstable Town, MA","12700",2017,358,332,21,5,0,0,0,150,48,37,0,0,346,12,0
"Bartlesville, OK","12780",2017,365,211,152,2,0,0,0,108,63,47,0,0,160,205,0
"Baton Rouge, LA","12940",2017,365,120,237,8,0,0,0,140,70,54,0,0,60,305,0
"Bay City, MI","13020",2017,362,279,83,0,0,0,0,82,54,36,0,0,0,362,0
"Beaumont-Port Arthur, TX","13140",2017,365,188,174,3,0,0,0,133,67,50,0,0,119,246,0
"Beaver Dam, WI","13180",2017,365,292,72,1,0,0,0,122,58,39,0,0,248,117,0
"Bellingham, WA","13380",2017,348,300,41,4,3,0,0,187,54,31,0,0,140,208,0
"Bemidji, MN","13420",2017,353,307,46,0,0,0,0,77,52,27,0,0,0,353,0
"Bend-Redmond, OR","13460",2017,365,280,57,2,15,8,3,479,83,27,0,0,0,365,0
"Bennington, VT","13540",2017,364,317,46,1,0,0,0,101,53,37,0,0,239,125,0
"Berlin, NH-VT","13620",2017,356,290,63,2,1,0,0,174,61,43,0,0,348,8,0
"Billings, MT","13740",2017,356,272,79,5,0,0,0,141,63,33,0,0,0,356,0
"Birmingham-Hoover, AL","13820",2017,365,103,259,3,0,0,0,129,73,56,0,1,60,303,1
"Bishop, CA","13860",2017,365,195,145,16,3,0,6,2234,87,49,0,0,256,58,51
"Bismarck, ND","13900",2017,365,266,96,2,0,1,0,222,61,42,1,2,187,175,0
"Blacksburg-Christiansburg-Radford, VA","13980",2017,350,327,22,1,0,0,0,101,49,40,0,0,350,0,0
"Bloomington, IL","14010",2017,364,201,163,0,0,0,0,100,61,48,0,0,135,229,0
"Bloomington, IN","14020",2017,358,254,103,1,0,0,0,101,59,43,0,0,173,185,0
"Boise City, ID","14260",2017,365,151,186,23,2,3,0,268,96,54,1,6,155,201,2
"Boston-Cambridge-Newton, MA-NH","14460",2017,365,81,279,5,0,0,0,147,71,57,0,0,52,313,0
"Boulder, CO","14500",2017,357,233,113,11,0,0,0,149,80,46,0,0,320,37,0
