"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2012,284,202,80,2,0,0,0,112,63,41,0,0,186,98,0
"Alabama","Clay",2012,121,71,50,0,0,0,0,75,61,46,0,0,0,121,0
"Alabama","Colbert",2012,283,204,73,6,0,0,0,136,64,43,0,0,196,87,0
"Alabama","DeKalb",2012,361,262,94,5,0,0,0,115,64,42,0,0,293,68,0
"Alabama","Elmore",2012,245,212,33,0,0,0,0,100,54,40,0,0,245,0,0
"Alabama","Etowah",2012,277,196,81,0,0,0,0,87,60,43,0,0,174,103,0
"Alabama","Houston",2012,284,210,74,0,0,0,0,97,60,40,0,0,191,93,0
"Alabama","Jefferson",2012,366,70,276,16,4,0,0,172,85,58,0,0,88,275,3
"Alabama","Lawrence",2012,109,81,28,0,0,0,0,62,55,37,0,0,0,109,0
"Alabama","Madison",2012,338,213,111,14,0,0,0,147,74,45,0,0,202,82,54
"Alabama","Mobile",2012,284,211,70,3,0,0,0,126,64,40,0,0,198,83,3
"Alabama","Montgomery",2012,280,179,100,1,0,0,0,102,66,46,0,0,182,98,0
"Alabama","Morgan",2012,283,195,82,6,0,0,0,129,71,45,0,0,198,85,0
"Alabama","Russell",2012,284,173,110,1,0,0,0,101,70,46,0,0,176,108,0
"Alabama","Shelby",2012,283,185,92,6,0,0,0,150,72,45,0,0,201,82,0
"Alabama","Talladega",2012,116,51,65,0,0,0,0,80,63,53,0,0,0,116,0
"Alabama","Tuscaloosa",2012,283,226,57,0,0,0,0,93,56,39,0,0,180,103,0
"Alaska","Aleutians East ",2012,116,116,0,0,0,0,0,48,27,13,0,0,0,116,0
"Alaska","Anchorage ",2012,366,264,102,0,0,0,0,100,70,34,1,0,118,198,49
"Alaska","Denali ",2012,365,363,2,0,0,0,0,58,43,32,0,0,364,1,0
"Alaska","Fairbanks North Star ",2012,366,214,110,15,24,3,0,246,115,43,1,0,112,242,11
"Alaska","Juneau ",2012,362,277,84,1,0,0,0,117,57,28,0,0,0,355,7
"Alaska","Kenai Peninsula ",2012,356,353,3,0,0,0,0,89,32,10,0,0,0,125,231
"Alaska","Matanuska-Susitna ",2012,366,255,106,5,0,0,0,127,73,36,0,0,86,241,39
"Alaska","Yukon-Koyukuk ",2012,113,113,0,0,0,0,0,28,12,6,0,0,0,113,0
"Arizona","Apache",2012,354,349,5,0,0,0,0,61,30,17,0,0,0,72,282
"Arizona","Cochise",2012,360,189,162,9,0,0,0,120,84,50,0,0,301,47,12
"Arizona","Coconino",2012,366,230,121,15,0,0,0,133,80,47,0,0,340,26,0
"Arizona","Gila",2012,364,148,187,28,1,0,0,163,97,54,0,0,198,4,162
"Arizona","La Paz",2012,239,140,88,11,0,0,0,115,90,49,0,0,239,0,0
"Arizona","Maricopa",2012,366,33,265,61,6,1,0,268,115,71,0,12,192,106,56
"Arizona","Mohave",2012,240,232,7,1,0,0,0,116,37,20,0,0,0,69,171
"Arizona","Navajo",2012,366,245,114,7,0,0,0,126,80,45,0,0,350,1,15
"Arizona","Pima",2012,366,164,193,9,0,0,0,143,84,51,0,8,224,48,86
"Arizona","Pinal",2012,366,46,237,69,7,3,4,605,124,75,0,0,107,15,244
"Arizona","Santa Cruz",2012,337,222,114,1,0,0,0,107,64,42,0,0,0,45,292
"Arizona","Yavapai",2012,283,205,69,9,0,0,0,112,74,45,0,0,238,45,0
"Arizona","Yuma",2012,366,224,116,24,2,0,0,166,90,47,0,0,179,29,158
"Arkansas","Arkansas",2012,119,52,67,0,0,0,0,80,63,52,0,0,0,119,0
"Arkansas","Ashley",2012,119,56,63,0,0,0,0,76,63,51,0,0,0,119,0
"Arkansas","Clark",2012,309,274,34,1,0,0,0,133,54,35,0,0,309,0,0
"Arkansas","Crittenden",2012,366,244,109,10,3,0,0,156,77,44,0,22,272,72,0
"Arkansas","Faulkner",2012,60,24,36,0,0,0,0,74,61,52,0,0,0,60,0
