"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Greeley, CO","24540",2012,366,196,150,18,2,0,0,161,90,49,2,0,320,43,1
"Green Bay, WI","24580",2012,366,208,140,14,4,0,0,179,84,47,0,0,144,222,0
"Greensboro-High Point, NC","24660",2012,364,168,186,9,1,0,0,154,71,51,0,0,118,246,0
"Greenville, NC","24780",2012,254,194,56,3,1,0,0,177,61,42,0,0,173,81,0
"Greenville-Anderson-Mauldin, SC","24860",2012,366,165,196,4,1,0,0,161,71,52,5,15,117,208,21
"Greenwood, SC","24940",2012,211,175,35,1,0,0,0,150,58,41,0,0,211,0,0
"Guayama, PR","25020",2012,122,103,19,0,0,0,0,70,54,22,0,0,0,84,38
"Gulfport-Biloxi-Pascagoula, MS","25060",2012,362,187,166,9,0,0,0,136,71,49,0,0,103,259,0
"Hagerstown-Martinsburg, MD-WV","25180",2012,363,150,202,10,1,0,0,151,83,54,0,0,121,242,0
"Hammond, LA","25220",2012,114,74,40,0,0,0,0,77,60,45,0,0,0,114,0
"Hanford-Corcoran, CA","25260",2012,366,93,207,60,6,0,0,172,114,68,0,0,188,161,17
"Harrisburg-Carlisle, PA","25420",2012,366,109,244,13,0,0,0,129,87,57,0,0,99,267,0
"Harrison, AR","25460",2012,366,271,93,2,0,0,0,136,71,43,0,0,321,45,0
"Harrisonburg, VA","25500",2012,346,252,92,2,0,0,0,115,61,39,0,104,158,84,0
"Hartford-West Hartford-East Hartford, CT","25540",2012,366,159,185,19,3,0,0,182,84,52,0,2,113,251,0
"Hattiesburg, MS","25620",2012,282,123,159,0,0,0,0,76,63,52,0,0,0,282,0
"Helena, MT","25740",2012,366,232,127,7,0,0,0,148,70,43,0,0,162,204,0
"Helena-West Helena, AR","25760",2012,59,32,27,0,0,0,0,68,61,48,0,0,0,59,0
"Hermiston-Pendleton, OR","25840",2012,365,244,119,2,0,0,0,108,64,42,0,0,132,233,0
"Hickory-Lenoir-Morganton, NC","25860",2012,365,156,207,2,0,0,0,129,64,52,0,0,95,270,0
"Hilo, HI","25900",2012,366,20,344,0,2,0,0,180,78,65,0,0,0,366,0
"Hobbs, NM","26020",2012,363,280,82,1,0,0,0,117,58,41,0,14,173,176,0
"Holland, MI","26090",2012,240,139,65,25,11,0,0,195,122,47,0,0,167,73,0
"Homosassa Springs, FL","26140",2012,121,99,22,0,0,0,0,87,54,36,0,0,0,121,0
"Hot Springs, AR","26300",2012,122,52,70,0,0,0,0,77,66,53,0,0,0,122,0
"Houghton, MI","26340",2012,121,115,6,0,0,0,0,57,43,15,0,0,0,121,0
"Houma-Thibodaux, LA","26380",2012,359,243,112,4,0,0,0,133,69,43,0,0,194,165,0
"Houston-The Woodlands-Sugar Land, TX","26420",2012,366,45,273,37,9,2,0,233,112,60,0,5,102,252,7
"Huntington, IN","26540",2012,180,140,38,2,0,0,0,126,71,42,0,0,180,0,0
"Huntington-Ashland, WV-KY-OH","26580",2012,366,131,222,12,1,0,0,161,80,55,0,1,107,255,3
"Huntsville, AL","26620",2012,338,213,111,14,0,0,0,147,74,45,0,0,202,82,54
"Idaho Falls, ID","26820",2012,358,287,68,2,1,0,0,155,61,42,0,0,344,14,0
"Indiana, PA","26860",2012,355,276,63,14,2,0,0,156,77,38,0,0,355,0,0
"Indianapolis-Carmel-Anderson, IN","26900",2012,366,35,302,27,2,0,0,169,94,65,0,0,95,271,0
"Iowa City, IA","26980",2012,366,119,247,0,0,0,0,91,69,55,0,0,0,366,0
"Ithaca, NY","27060",2012,350,305,39,6,0,0,0,115,54,37,0,0,350,0,0
"Jackson, MS","27140",2012,366,146,217,2,1,0,0,156,66,53,0,0,59,307,0
"Jackson, WY-ID","27220",2012,366,252,111,3,0,0,0,110,67,45,1,0,342,21,2
"Jacksonville, FL","27260",2012,366,256,107,2,1,0,0,170,60,42,0,1,180,183,2
"Jamestown-Dunkirk-Fredonia, NY","27460",2012,366,280,69,15,2,0,0,197,80,40,0,0,330,36,0
"Janesville-Beloit, WI","27500",2012,191,123,57,11,0,0,0,143,93,45,0,0,191,0,0
"Jasper, IN","27540",2012,123,50,73,0,0,0,0,82,68,53,0,0,0,123,0
"Jefferson City, MO","27620",2012,214,139,64,11,0,0,0,143,87,45,0,0,214,0,0
"Johnstown, PA","27780",2012,366,145,214,6,1,0,0,159,77,54,0,4,91,264,7
"Joplin, MO","27900",2012,327,221,82,22,2,0,0,154,93,41,0,0,200,0,127
"Juneau, AK","27940",2012,362,277,84,1,0,0,0,117,57,28,0,0,0,355,7
"Kahului-Wailuku-Lahaina, HI","27980",2012,349,302,47,0,0,0,0,68,52,33,0,0,0,349,0
"Kalamazoo-Portage, MI","28020",2012,243,130,93,18,2,0,0,192,97,48,0,0,166,77,0
"Kalispell, MT","28060",2012,366,258,108,0,0,0,0,95,65,41,0,0,173,173,20
"Kansas City, MO-KS","28140",2012,366,48,268,40,10,0,0,177,108,63,0,5,118,238,5
"Kapaa, HI","28180",2012,365,293,72,0,0,0,0,64,54,36,14,6,0,345,0
"Keene, NH","28300",2012,366,259,105,2,0,0,0,112,68,40,0,0,204,162,0
"Kennewick-Richland, WA","28420",2012,366,286,79,1,0,0,0,104,57,31,0,0,0,347,19
"Killeen-Temple, TX","28660",2012,363,290,64,8,1,0,0,154,71,40,0,0,363,0,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2012,366,262,94,9,1,0,0,187,64,42,3,84,207,72,0
"Kingston, NY","28740",2012,354,315,38,1,0,0,0,101,51,36,0,0,354,0,0
"Kingsville, TX","28780",2012,328,187,141,0,0,0,0,90,64,46,0,0,0,328,0
"Kinston, NC","28820",2012,276,218,57,1,0,0,0,143,58,41,0,0,196,80,0
"Klamath Falls, OR","28900",2012,360,216,135,8,1,0,0,152,81,39,0,0,0,360,0
"Knoxville, TN","28940",2012,366,49,292,22,2,1,0,217,90,60,0,0,105,255,6
"Kokomo, IN","29020",2012,11,6,5,0,0,0,0,62,61,44,0,0,0,11,0
"La Crosse-Onalaska, WI-MN","29100",2012,316,181,133,2,0,0,0,105,70,47,0,0,139,177,0
"La Grande, OR","29260",2012,365,260,103,2,0,0,0,147,62,34,0,0,0,365,0
"Laconia, NH","29060",2012,210,179,31,0,0,0,0,97,56,37,0,0,173,37,0
"Lafayette, LA","29180",2012,366,146,217,3,0,0,0,129,71,53,0,0,85,279,2
"Lafayette-West Lafayette, IN","29200",2012,364,64,289,10,1,0,0,156,83,60,0,0,48,316,0
"Lake Charles, LA","29340",2012,366,199,161,6,0,0,0,136,67,49,0,0,128,238,0
"Lake City, FL","29380",2012,365,267,96,1,1,0,0,154,58,38,0,0,203,162,0
"Lake Havasu City-Kingman, AZ","29420",2012,240,232,7,1,0,0,0,116,37,20,0,0,0,69,171
"Lakeland-Winter Haven, FL","29460",2012,366,201,160,4,1,0,0,154,64,49,0,0,94,272,0
"Lancaster, PA","29540",2012,366,96,250,19,1,0,0,179,87,60,0,0,87,279,0
"Lansing-East Lansing, MI","29620",2012,361,263,84,12,2,0,0,166,84,38,0,25,285,51,0
"Laramie, WY","29660",2012,365,176,182,7,0,0,0,125,77,51,0,0,269,13,83
"Laredo, TX","29700",2012,346,155,190,1,0,0,0,103,66,52,0,0,33,308,5
"Las Cruces, NM","29740",2012,366,136,199,23,1,1,6,1762,97,54,0,5,219,38,104
"Las Vegas-Henderson-Paradise, NV","29820",2012,366,68,245,47,6,0,0,180,112,66,0,1,240,120,5
"Laurel, MS","29860",2012,58,27,31,0,0,0,0,92,66,52,0,0,0,58,0
"Lawrenceburg, TN","29980",2012,59,31,28,0,0,0,0,69,60,48,0,0,0,59,0
"Lawton, OK","30020",2012,366,146,208,10,2,0,0,151,81,54,0,0,155,211,0
"Lebanon, PA","30140",2012,366,114,240,12,0,0,0,129,87,57,0,0,98,268,0
"Lewiston, ID-WA","30300",2012,366,221,135,5,4,1,0,202,67,39,0,0,0,366,0
"Lewiston-Auburn, ME","30340",2012,363,263,100,0,0,0,0,97,58,39,0,0,102,260,1
"Lexington, NE","30420",2012,61,50,11,0,0,0,0,73,56,26,0,0,0,0,61
"Lexington-Fayette, KY","30460",2012,366,145,202,18,1,0,0,151,80,53,0,3,105,258,0
"Lima, OH","30620",2012,366,239,104,22,1,0,0,169,90,43,0,0,182,184,0
"Lincoln, NE","30700",2012,286,225,61,0,0,0,0,82,57,41,24,0,179,83,0
"Little Rock-North Little Rock-Conway, AR","30780",2012,366,75,274,17,0,0,0,150,84,58,0,4,90,272,0
"Logan, UT-ID","30860",2012,366,164,194,8,0,0,0,125,74,52,0,13,150,203,0
"Longview, TX","30980",2012,363,296,62,5,0,0,0,143,67,36,0,5,358,0,0
"Longview, WA","31020",2012,351,304,47,0,0,0,0,74,53,26,0,0,0,351,0
"Los Alamos, NM","31060",2012,115,115,0,0,0,0,0,48,33,19,0,0,0,115,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2012,366,13,221,95,35,2,0,207,151,84,0,10,161,193,2
"Louisville/Jefferson County, KY-IN","31140",2012,366,61,267,28,8,2,0,204,101,60,0,0,102,264,0
"Lubbock, TX","31180",2012,278,166,110,2,0,0,0,113,59,47,0,0,0,278,0
"Ludington, MI","31220",2012,182,131,29,19,3,0,0,156,105,42,0,0,182,0,0
"Lumberton, NC","31300",2012,122,75,47,0,0,0,0,80,59,45,0,0,0,122,0
"Lynchburg, VA","31340",2012,115,83,32,0,0,0,0,69,58,41,0,0,0,115,0
"Macon, GA","31420",2012,366,124,238,4,0,0,0,147,72,54,0,0,57,309,0
"Madera, CA","31460",2012,366,59,226,70,11,0,0,200,129,68,0,0,176,184,6
"Madison, WI","31540",2012,355,156,186,11,2,0,0,154,80,52,0,0,157,198,0
"Malone, NY","31660",2012,311,310,1,0,0,0,0,72,26,12,0,152,159,0,0
"Manchester-Nashua, NH","31700",2012,366,296,64,6,0,0,0,150,64,40,1,0,307,58,0
"Manhattan, KS","31740",2012,330,255,60,14,1,0,0,154,84,39,0,0,330,0,0
"Manitowoc, WI","31820",2012,192,142,29,16,5,0,0,177,101,39,0,0,192,0,0
"Marietta, OH","31930",2012,214,134,73,7,0,0,0,150,90,47,0,0,214,0,0
"Marion, NC","32000",2012,355,190,165,0,0,0,0,76,58,49,0,0,0,355,0
"Marshall, MN","32140",2012,364,245,117,2,0,0,0,101,64,43,0,0,148,216,0
"Marshall, TX","32220",2012,366,159,200,7,0,0,0,133,69,52,0,0,119,247,0
"Mason City, IA","32380",2012,356,344,12,0,0,0,0,66,39,19,0,0,0,0,356
"Mayaguez, PR","32420",2012,115,93,22,0,0,0,0,76,57,27,0,0,0,115,0
"McAlester, OK","32540",2012,366,126,229,11,0,0,0,147,79,56,0,0,138,228,0
"McAllen-Edinburg-Mission, TX","32580",2012,366,169,197,0,0,0,0,84,67,51,0,0,69,296,1
"Medford, OR","32780",2012,366,196,167,3,0,0,0,110,72,49,0,0,140,226,0
"Memphis, TN-MS-AR","32820",2012,366,118,211,29,7,1,0,220,101,55,0,0,125,241,0
"Merced, CA","32900",2012,366,136,196,33,1,0,0,151,97,57,0,0,206,157,3
"Meridian, MS","32940",2012,366,154,212,0,0,0,0,90,63,52,0,0,31,335,0
"Miami, OK","33060",2012,363,143,203,15,2,0,0,161,77,53,0,0,103,258,2
